checksum,download_link,publication_date,id,published_instrument_file_id,_root_,file_name,file_type,_version_,timestamp
852b2dde71cf114289ad95ada2a4e406,http://firds.esma.europa.eu/firds/DLTINS_20210117_01of01.zip,2021-01-17T00:00:00Z,46015,46015,46015,DLTINS_20210117_01of01.zip,DLTINS,1763847605631057963,2023-04-22T04:02:39.545Z
3533fe597fc721ed139198503fe87910,http://firds.esma.europa.eu/firds/DLTINS_20210119_01of02.zip,2021-01-19T00:00:00Z,46051,46051,46051,DLTINS_20210119_01of02.zip,DLTINS,1763847605653078019,2023-04-22T04:02:39.566Z
4edec7a18a04a8a11c2735f4405acbaf,http://firds.esma.europa.eu/firds/DLTINS_20210119_02of02.zip,2021-01-19T00:00:00Z,46052,46052,46052,DLTINS_20210119_02of02.zip,DLTINS,1763847605653078020,2023-04-22T04:02:39.566Z
f88a84bd2423c5016476577d2c2f4687,http://firds.esma.europa.eu/firds/DLTINS_20210118_01of01.zip,2021-01-18T00:00:00Z,46032,46032,46032,DLTINS_20210118_01of01.zip,DLTINS,1763847605668806661,2023-04-22T04:02:39.581Z
